[1.6099771251103774, 0.23873981833457947]
epoch=169, time=0.830013 s[0.8372153598104838, 0.04424734227359295]
epoch=170, time=1.004831 s[0.7916639069638685, 0.04349754378199577]
epoch=171, time=0.764964 s[0.7777941108690699, 0.04399391449987888]
epoch=172, time=0.829911 s[0.7703939359969119, 0.0450321901589632]
epoch=173, time=0.828920 s[0.7486019497762129, 0.04507830552756786]
epoch=174, time=0.827936 s[0.7669877483941183, 0.047144168987870216]
epoch=175, time=0.872616 s[1.0555270694276537, 0.04688120074570179]
epoch=176, time=0.834710 s[0.8460551632905366, 0.043666765093803406]
epoch=177, time=0.837135 s[0.7960286792737493, 0.046391237527132034]
epoch=178, time=0.833701 s[0.7801391661925902, 0.045050060376524925]
epoch=179, time=0.838361 s[0.7797092966019024, 0.0485738143324852]
epoch=180, time=1.012772 s[0.7463366232840016, 0.047742728143930435]
epoch=181, time=0.757115 s[0.8231690917071988, 0.048912160098552704]
epoch=182, time=0.835212 s[0.8458358506368954, 0.04705551080405712]
epoch=183, time=0.833646 s[0.7920807142974433, 0.04586690850555897]
epoch=184, time=0.841382 s[0.7849638083178072, 0.048729198053479195]
epoch=185, time=0.852004 s[0.8101126905280027, 0.05039266683161259]
epoch=186, time=0.836481 s[0.7684053786411699, 0.04817986115813255]
epoch=187, time=0.833466 s[0.7374989051050308, 0.04706615209579468]
epoch=188, time=0.834421 s[0.7379905715811637, 0.04721493646502495]
epoch=189, time=0.847045 s[0.7277088599895819, 0.04497637040913105]
epoch=190, time=1.004588 s[0.7527176579409918, 0.0458495169878006]
epoch=191, time=0.764437 s[0.7913197078867508, 0.04647090286016464]
epoch=192, time=0.837932 s[0.7796082769576804, 0.048470569774508476]
epoch=193, time=0.833306 s[0.7452577721075331, 0.048364127054810524]
epoch=194, time=0.837506 s[0.7338364482933154, 0.04895048215985298]
epoch=195, time=0.872618 s[0.7471184957699498, 0.04728756472468376]
epoch=196, time=0.834394 s[0.7341103163905245, 0.050365207716822624]
epoch=197, time=0.834268 s[0.7075256458384878, 0.04834134690463543]
epoch=198, time=0.838704 s[0.8618735011270342, 0.04711010120809078]
epoch=199, time=0.837683 s[0.9593751152373562, 0.04785738326609135]
epoch=200, time=1.053684 s[0.8034054633454002, 0.0455107968300581]
epoch=201, time=0.752569 s[0.7578033877734163, 0.04988846741616726]
epoch=202, time=0.834603 s[0.714062361372328, 0.04607698507606983]
epoch=203, time=0.837121 s[0.7981832191414969, 0.04518499970436096]
epoch=204, time=0.850853 s[0.7936818915199965, 0.04792293347418308]
epoch=205, time=0.857798 s[0.7441250782381253, 0.047905152663588524]
epoch=206, time=0.840111 s[0.7806409912304078, 0.04811646416783333]
epoch=207, time=0.831514 s[0.7514993111736646, 0.04854329489171505]
epoch=208, time=0.843434 s[0.7641748925247633, 0.049021871760487556]
epoch=209, time=0.836568 s[0.7259807346424113, 0.049650583416223526]
epoch=210, time=1.026768 s[0.7102083397583943, 0.05039535462856293]
epoch=211, time=0.766311 s[0.800600903655572, 0.04911481402814388]
epoch=212, time=0.834933 s[0.8500752848394104, 0.0477940421551466]
epoch=213, time=0.836880 s[0.7674266459295932, 0.04773090407252312]
epoch=214, time=0.833914 s[0.761661796745019, 0.04790736921131611]
epoch=215, time=0.860158 s[0.7754941896775643, 0.046755630522966385]
epoch=216, time=0.834256 s[0.7369753874882258, 0.04964164458215237]
epoch=217, time=0.906593 s[0.7196871378450274, 0.047895949333906174]
epoch=218, time=0.837533 s[0.7256598195515533, 0.048549959436059]
epoch=219, time=0.832805 s[0.7166794656272579, 0.04943431541323662]
epoch=220, time=1.083542 s[0.7244452925824247, 0.048682801425457]
epoch=221, time=0.815859 s[0.7352400439356268, 0.05168813467025757]
epoch=222, time=0.838321 s[0.7251818670647091, 0.04771307110786438]
epoch=223, time=0.892346 s[0.710313214950622, 0.048870399594306946]
epoch=224, time=0.865008 s[0.8317804573228643, 0.044129058718681335]
epoch=225, time=0.881118 s[1.1109634225973073, 0.05059496499598026]
epoch=226, time=0.836064 s[0.7869438576044301, 0.04672130569815636]
epoch=227, time=0.888494 s[0.7286434103171431, 0.04641181044280529]
epoch=228, time=0.836029 s[0.7050276206373097, 0.04822222702205181]
epoch=229, time=0.832593 s[0.7086126817882554, 0.04633060842752457]
